#起始日期：2017-06-01 00:00:00  终止日期：2017-06-12 23:59:59												
#交易金额合计：11197笔，共4110546.80元												
#下载时间：2017-06-18 20:58:23												
												
交易时间	微信支付单号	商户订单号	商户号	特约商户号	设备号	appid	下单用户	交易场景	交易状态	支付成功时间	交易金额(元)	现金券抵扣金额(元) 
2017/6/1 6:01	"4009322001201706013615625860	"	"GH20170601060010101158511	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wTsj7w6gxferi94rnJavDrw	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4000272001201706013611670395	"	"GH20170601060024978841424	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wS9oBUb4J_xbb_uSQ9tTkTo	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4008092001201706013616519830	"	"GH20170601060014128463990	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRP3jt0sUORjLVv_5fVYl68	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4005382001201706013611685954	"	"GH201706010600241383815595	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wUmo3FSyrESvQIQtzBCsyZI	公众号支付	买家已支付	2017/6/1 6:01	3.5	0.59
2017/6/1 6:01	"4001872001201706013611700762	"	"GH20170601060026936295826	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wXmKzYToECGagL7oX0Yotjk	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4004792001201706013611696972	"	"GH201706010600101372808488	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wYn_HqDJAKloBL5fOhJUBPw	公众号支付	买家已支付	2017/6/1 6:01	7.5	0.72
2017/6/1 6:01	"4000102001201706013611747837	"	"GH20170601060023334892037	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wdtj2kInRqAWBgAZpHc2en8	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4006672001201706013613663168	"	"GH201706010600272097616059	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wU2pR47QPqKZa4GcVcdAOXc	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4005042001201706013611749271	"	"GH20170601060034505865419	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wQUT2zXXaKdHXlJIXO9H89E	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4005722001201706013615622718	"	"GH20170601060036814691712	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWXQjcSMIk1ixXz8t_VNR-A	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
